iter	Passed	Remaining
0	2	2488
1	3	1762
2	4	1491
3	5	1326
4	6	1246
5	7	1273
6	9	1303
7	13	1722
8	15	1715
9	17	1713
10	19	1765
11	21	1782
12	22	1735
13	25	1812
14	27	1787
15	29	1799
16	31	1793
17	33	1807
18	34	1800
19	36	1773
20	37	1738
21	38	1704
22	40	1723
23	42	1718
24	44	1735
25	45	1718
26	47	1698
27	48	1675
28	49	1653
29	50	1631
30	51	1608
31	52	1586
32	53	1562
33	55	1585
34	57	1591
35	59	1594
36	61	1599
37	63	1608
38	64	1594
39	66	1584
40	67	1567
41	69	1596
42	72	1617
43	74	1613
44	76	1621
45	78	1624
46	79	1613
47	80	1597
48	82	1596
49	84	1610
50	87	1620
51	88	1614
52	90	1608
53	91	1606
54	93	1598
55	94	1590
56	95	1577
57	96	1571
58	98	1564
59	99	1560
60	100	1551
61	102	1554
62	104	1559
63	106	1552
64	107	1542
65	108	1541
66	110	1534
67	112	1547
68	114	1542
69	115	1538
70	118	1545
71	120	1550
72	121	1541
73	122	1532
74	123	1527
75	125	1527
76	127	1522
77	128	1514
78	129	1507
79	131	1512
80	133	1513
81	134	1507
82	135	1494
83	136	1489
84	141	1517
85	142	1516
86	143	1508
87	144	1499
88	145	1492
89	148	1499
90	150	1500
91	151	1497
92	153	1501
93	155	1497
94	156	1495
95	158	1489
96	159	1482
97	160	1478
98	162	1475
99	163	1470
100	165	1474
101	167	1473
102	169	1473
103	170	1469
104	172	1467
105	173	1463
106	175	1460
107	177	1464
108	179	1464
109	182	1473
110	183	1471
111	185	1468
112	186	1465
113	188	1461
114	189	1459
115	193	1470
116	193	1463
117	194	1455
118	196	1453
119	197	1447
120	198	1444
121	200	1440
122	201	1436
123	202	1430
124	203	1427
125	205	1423
126	205	1415
127	206	1409
128	207	1404
129	208	1397
130	210	1396
131	211	1392
132	213	1389
133	214	1384
134	215	1381
135	216	1375
136	217	1369
137	218	1363
138	219	1357
139	219	1351
140	221	1346
141	221	1340
142	222	1335
143	224	1333
144	225	1330
145	227	1329
146	228	1328
147	231	1331
148	232	1330
149	234	1326
150	234	1320
151	235	1316
152	236	1311
153	239	1316
154	241	1316
155	243	1316
156	244	1314
157	246	1312
158	247	1309
159	248	1304
160	249	1298
161	251	1299
162	252	1296
163	254	1294
164	256	1297
165	258	1299
166	260	1297
167	261	1292
168	262	1288
169	263	1285
170	264	1283
171	266	1284
172	268	1283
173	271	1288
174	273	1287
175	274	1284
176	275	1281
177	277	1281
178	278	1278
179	280	1276
180	282	1278
181	285	1281
182	287	1281
183	288	1279
184	289	1276
185	290	1272
186	292	1270
187	293	1268
188	296	1271
189	298	1272
190	300	1273
191	302	1271
192	303	1268
193	304	1266
194	306	1264
195	308	1263
196	309	1263
197	311	1261
198	313	1262
199	314	1258
200	316	1256
201	317	1254
202	318	1251
203	320	1250
204	322	1250
205	323	1247
206	325	1245
207	326	1243
208	327	1241
209	328	1237
210	330	1235
211	331	1231
212	332	1230
213	335	1230
214	336	1229
215	337	1226
216	339	1225
217	340	1221
218	341	1218
219	342	1215
220	344	1212
221	345	1209
222	346	1206
223	347	1203
224	349	1203
225	351	1202
226	352	1201
227	354	1199
228	356	1201
229	358	1199
230	359	1196
231	360	1193
232	361	1190
233	363	1191
234	365	1189
235	367	1188
236	369	1188
237	371	1189
238	372	1186
239	373	1183
240	375	1181
241	376	1178
242	378	1179
243	380	1178
244	382	1179
245	384	1179
246	385	1176
247	386	1172
248	387	1170
249	388	1166
250	389	1163
251	391	1161
252	392	1160
253	394	1159
254	396	1157
255	398	1157
256	399	1156
257	400	1152
258	401	1149
259	402	1146
260	403	1142
261	404	1139
262	405	1137
263	407	1135
264	408	1132
265	410	1131
266	411	1129
267	412	1126
268	413	1123
269	414	1119
270	414	1115
271	415	1112
272	416	1109
273	417	1105
274	418	1102
275	419	1099
276	420	1098
277	422	1096
278	424	1096
279	425	1093
280	426	1090
281	427	1087
282	427	1084
283	428	1081
284	429	1078
285	430	1075
286	431	1071
287	432	1069
288	433	1066
289	434	1064
290	436	1062
291	437	1060
292	438	1057
293	439	1054
294	440	1051
295	440	1048
296	441	1045
297	442	1042
298	443	1039
299	444	1036
300	444	1033
301	445	1030
302	446	1027
303	447	1024
304	448	1021
305	449	1019
306	450	1017
307	452	1016
308	453	1013
309	454	1010
310	454	1007
311	455	1004
312	456	1001
313	457	999
314	458	996
315	459	993
316	459	991
317	460	988
318	461	985
319	462	983
320	463	980
321	464	978
322	466	977
323	474	989
324	475	988
325	477	986
326	478	984
327	484	991
328	485	990
329	486	988
330	487	985
331	489	984
332	490	982
333	492	981
334	493	979
335	497	983
336	499	981
337	500	979
338	501	978
339	503	977
340	504	975
341	505	973
342	507	971
343	508	970
344	511	970
345	513	969
346	514	968
347	515	966
348	516	964
349	518	963
350	520	961
351	521	959
352	522	957
353	523	955
354	525	954
355	526	952
356	527	950
357	528	948
358	529	946
359	530	943
360	532	941
361	533	940
362	534	938
363	540	944
364	542	944
365	544	942
366	545	941
367	547	939
368	548	937
369	549	935
370	550	934
371	552	931
372	553	930
373	554	928
374	555	925
375	556	923
376	557	920
377	557	917
378	558	915
379	559	912
380	560	910
381	561	907
382	561	904
383	562	902
384	563	899
385	564	897
386	564	894
387	566	892
388	567	891
389	568	889
390	569	887
391	570	884
392	571	882
393	572	879
394	572	877
395	573	874
396	574	872
397	575	870
398	576	867
399	576	865
400	577	862
401	578	860
402	579	858
403	580	855
404	581	854
405	583	853
406	584	851
407	585	849
408	586	847
409	587	844
410	587	842
411	588	840
412	589	837
413	590	835
414	590	832
415	591	830
416	592	828
417	593	825
418	593	823
419	594	821
420	596	819
421	597	818
422	598	816
423	599	814
424	600	812
425	601	810
426	602	808
427	603	806
428	603	803
429	604	801
430	605	799
431	606	797
432	607	794
433	607	792
434	608	790
435	609	788
436	610	786
437	612	785
438	613	784
439	614	781
440	615	779
441	615	777
442	616	775
443	617	773
444	618	771
445	618	768
446	619	766
447	620	764
448	621	762
449	622	760
450	622	758
451	623	755
452	624	753
453	625	751
454	626	750
455	628	749
456	628	747
457	629	745
458	630	743
459	631	741
460	632	739
461	633	737
462	633	735
463	634	733
464	635	731
465	636	729
466	637	727
467	637	725
468	638	723
469	639	721
470	640	719
471	642	718
472	643	716
473	644	714
474	644	712
475	645	710
476	646	708
477	647	706
478	647	704
479	648	702
480	649	700
481	650	698
482	651	696
483	651	694
484	652	693
485	653	691
486	655	690
487	656	688
488	658	687
489	658	685
490	659	684
491	660	682
492	661	680
493	662	678
494	663	676
495	664	674
496	665	673
497	665	671
498	666	669
499	667	667
500	668	665
501	669	663
502	670	662
503	672	661
504	672	659
505	673	657
506	674	655
507	675	653
508	675	651
509	676	650
510	677	648
511	678	646
512	678	644
513	679	642
514	680	640
515	681	638
516	682	637
517	683	635
518	684	634
519	685	633
520	686	631
521	687	629
522	688	628
523	689	626
524	690	624
525	691	623
526	692	621
527	692	619
528	693	617
529	694	615
530	695	614
531	696	612
532	696	610
533	697	608
534	698	607
535	699	605
536	701	604
537	702	603
538	703	601
539	703	599
540	704	597
541	705	596
542	706	594
543	706	592
544	707	590
545	708	589
546	709	587
547	710	585
548	710	583
549	711	582
550	712	580
551	713	578
552	714	577
553	715	576
554	716	574
555	717	573
556	718	571
557	719	569
558	719	567
559	720	566
560	721	564
561	722	562
562	722	561
563	723	559
564	724	557
565	725	556
566	726	554
567	726	552
568	727	551
569	728	549
570	730	548
571	731	547
572	732	545
573	733	544
574	733	542
575	734	540
576	735	539
577	736	537
578	737	536
579	738	534
580	739	532
581	739	531
582	740	529
583	741	528
584	742	526
585	742	524
586	743	523
587	745	522
588	746	521
589	747	519
590	748	517
591	749	516
592	749	514
593	750	513
594	751	511
595	752	509
596	753	508
597	753	506
598	754	505
599	755	503
600	756	502
601	756	500
602	757	498
603	758	497
604	759	496
605	761	494
606	762	493
607	763	491
608	763	490
609	764	488
610	765	487
611	766	485
612	766	484
613	767	482
614	768	481
615	769	479
616	770	478
617	771	476
618	772	475
619	772	473
620	773	472
621	775	471
622	776	470
623	777	468
624	778	467
625	779	465
626	779	463
627	780	462
628	781	461
629	783	459
630	784	458
631	784	457
632	785	455
633	786	454
634	787	452
635	787	450
636	789	449
637	791	448
638	792	447
639	792	446
640	793	444
641	794	443
642	795	441
643	796	440
644	797	438
645	798	437
646	798	435
647	799	434
648	800	432
649	801	431
650	801	429
651	802	428
652	803	427
653	805	426
654	806	424
655	807	423
656	808	422
657	809	420
658	810	419
659	810	417
660	811	416
661	812	414
662	813	413
663	813	411
664	814	410
665	815	408
666	816	407
667	816	406
668	817	404
669	818	403
670	820	402
671	821	400
672	822	399
673	823	398
674	823	396
675	824	395
676	825	393
677	826	392
678	827	391
679	827	389
680	828	388
681	829	386
682	830	385
683	830	383
684	831	382
685	832	381
686	833	379
687	835	378
688	836	377
689	837	376
690	838	374
691	839	373
692	839	372
693	840	370
694	841	369
695	842	367
696	843	366
697	843	365
698	844	363
699	845	362
700	845	360
701	846	359
702	847	358
703	849	356
704	850	355
705	851	354
706	852	353
707	853	351
708	854	350
709	854	349
710	855	347
711	856	346
712	857	345
713	858	343
714	859	342
715	859	341
716	860	339
717	861	338
718	862	337
719	863	335
720	865	334
721	866	333
722	867	332
723	868	330
724	869	329
725	869	328
726	870	326
727	871	325
728	872	324
729	873	323
730	874	321
731	874	320
732	875	318
733	876	317
734	877	316
735	879	315
736	881	314
737	882	313
738	883	312
739	884	310
740	885	309
741	886	308
742	887	306
743	888	305
744	889	304
745	889	303
746	890	301
747	891	300
748	893	299
749	895	298
750	896	297
751	897	295
752	898	294
753	898	293
754	899	291
755	900	290
756	901	289
757	902	288
758	903	286
759	904	285
760	904	284
761	905	282
762	906	281
763	910	281
764	911	280
765	912	278
766	913	277
767	914	276
768	915	275
769	916	273
770	917	272
771	918	271
772	919	270
773	921	268
774	922	267
775	924	266
776	925	265
777	926	264
778	928	263
779	928	262
780	929	260
781	930	259
782	931	258
783	932	257
784	933	255
785	934	254
786	937	253
787	939	252
788	940	251
789	942	250
790	943	249
791	945	248
792	946	247
793	948	245
794	949	244
795	951	243
796	953	242
797	955	241
798	956	240
799	958	239
800	959	238
801	962	237
802	964	236
803	966	235
804	967	234
805	968	233
806	969	231
807	970	230
808	971	229
809	972	228
810	973	226
811	974	225
812	976	224
813	978	223
814	979	222
815	980	221
816	981	219
817	982	218
818	983	217
819	984	216
820	985	214
821	985	213
822	986	212
823	987	210
824	988	209
825	990	208
826	992	207
827	993	206
828	995	205
829	996	204
830	997	202
831	998	201
832	999	200
833	1000	199
834	1001	197
835	1002	196
836	1003	195
837	1005	194
838	1006	193
839	1007	191
840	1009	190
841	1010	189
842	1011	188
843	1013	187
844	1014	186
845	1015	184
846	1016	183
847	1017	182
848	1019	181
849	1020	180
850	1021	178
851	1022	177
852	1023	176
853	1024	175
854	1025	173
855	1026	172
856	1026	171
857	1027	170
858	1028	168
859	1029	167
860	1030	166
861	1030	165
862	1031	163
863	1032	162
864	1034	161
865	1035	160
866	1036	158
867	1036	157
868	1037	156
869	1038	155
870	1039	153
871	1039	152
872	1040	151
873	1041	150
874	1042	148
875	1042	147
876	1043	146
877	1044	145
878	1045	143
879	1045	142
880	1046	141
881	1048	140
882	1050	139
883	1050	137
884	1051	136
885	1052	135
886	1053	134
887	1054	133
888	1055	131
889	1056	130
890	1057	129
891	1058	128
892	1059	126
893	1060	125
894	1062	124
895	1064	123
896	1066	122
897	1067	121
898	1068	120
899	1069	118
900	1070	117
901	1072	116
902	1073	115
903	1074	114
904	1075	112
905	1077	111
906	1079	110
907	1080	109
908	1081	108
909	1082	107
910	1083	105
911	1084	104
912	1084	103
913	1085	102
914	1086	100
915	1087	99
916	1088	98
917	1088	97
918	1089	96
919	1090	94
920	1091	93
921	1092	92
922	1094	91
923	1095	90
924	1095	88
925	1096	87
926	1097	86
927	1098	85
928	1099	83
929	1099	82
930	1100	81
931	1101	80
932	1102	79
933	1102	77
934	1103	76
935	1104	75
936	1105	74
937	1106	73
938	1108	72
939	1110	70
940	1110	69
941	1111	68
942	1112	67
943	1113	66
944	1114	64
945	1114	63
946	1115	62
947	1116	61
948	1117	60
949	1117	58
950	1118	57
951	1119	56
952	1120	55
953	1122	54
954	1123	52
955	1124	51
956	1125	50
957	1126	49
958	1127	48
959	1128	47
960	1128	45
961	1129	44
962	1130	43
963	1131	42
964	1132	41
965	1133	39
966	1133	38
967	1134	37
968	1135	36
969	1137	35
970	1138	34
971	1139	32
972	1140	31
973	1141	30
974	1142	29
975	1143	28
976	1144	26
977	1144	25
978	1145	24
979	1146	23
980	1147	22
981	1148	21
982	1149	19
983	1150	18
984	1151	17
985	1153	16
986	1154	15
987	1155	14
988	1156	12
989	1157	11
990	1157	10
991	1158	9
992	1159	8
993	1160	7
994	1161	5
995	1162	4
996	1163	3
997	1163	2
998	1164	1
999	1165	0
